               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.014666,           0.0047691,             0.00584,             0.70091,             0.50231,             0.49794,             0.33572,            0.014065,           0.0050718,           0.0068124,           0.0026781,           0.0026781,           0.0026781
                  87,            0.014842,           0.0047558,           0.0058834,             0.71347,             0.50076,             0.50368,             0.34267,            0.014008,           0.0050288,           0.0068011,           0.0026666,           0.0026666,           0.0026666
                  88,            0.014745,           0.0048137,           0.0058425,             0.71098,             0.49816,             0.49914,             0.34158,            0.013882,           0.0050059,           0.0068885,            0.002655,            0.002655,            0.002655
                  89,            0.014608,           0.0047081,           0.0056355,             0.66815,             0.50754,             0.50227,             0.34115,            0.013876,           0.0049843,           0.0067985,           0.0026433,           0.0026433,           0.0026433
                  90,            0.014533,           0.0046308,           0.0057115,             0.65828,             0.50532,               0.502,             0.33939,            0.013804,           0.0049874,           0.0067901,           0.0026315,           0.0026315,           0.0026315
                  91,            0.014639,           0.0047138,           0.0055374,             0.68512,             0.51142,             0.50377,             0.34219,            0.013777,           0.0049689,           0.0067221,           0.0026196,           0.0026196,           0.0026196
                  92,            0.014523,           0.0046556,           0.0056888,             0.68361,             0.51432,             0.51226,             0.35206,            0.013845,           0.0049377,           0.0065431,           0.0026076,           0.0026076,           0.0026076
                  93,            0.014471,           0.0047435,             0.00558,             0.72245,             0.50906,             0.51873,             0.35492,            0.013798,            0.004932,           0.0065838,           0.0025956,           0.0025956,           0.0025956
                  94,            0.014507,            0.004748,           0.0054812,             0.71565,             0.50388,             0.51591,             0.35318,            0.013827,            0.004945,           0.0065567,           0.0025834,           0.0025834,           0.0025834
                  95,            0.014588,           0.0046421,            0.005508,             0.66165,               0.541,             0.51729,             0.35166,            0.013839,           0.0049721,           0.0063835,           0.0025712,           0.0025712,           0.0025712
                  96,            0.014417,           0.0046102,           0.0053937,             0.66583,             0.53179,             0.51573,              0.3527,            0.013833,           0.0049654,            0.006306,           0.0025589,           0.0025589,           0.0025589
                  97,            0.014405,           0.0046343,           0.0053981,             0.66761,              0.5285,             0.51556,             0.35409,            0.013835,           0.0049859,           0.0064444,           0.0025464,           0.0025464,           0.0025464
                  98,             0.01438,           0.0046811,           0.0053745,             0.66447,             0.52475,              0.5162,             0.35376,            0.013618,           0.0049772,           0.0065037,            0.002534,            0.002534,            0.002534
                  99,            0.014556,           0.0047086,           0.0053414,             0.66521,             0.52598,             0.52023,             0.35813,            0.013534,           0.0049705,           0.0064019,           0.0025214,           0.0025214,           0.0025214
                 100,            0.014424,           0.0046139,           0.0051951,             0.70038,             0.51156,             0.52385,             0.36135,            0.013541,           0.0049819,           0.0063206,           0.0025087,           0.0025087,           0.0025087
                 101,            0.014542,           0.0046613,           0.0052687,             0.68022,             0.51963,             0.52406,             0.35984,            0.013566,           0.0049945,           0.0063019,            0.002496,            0.002496,            0.002496
                 102,            0.014346,           0.0045518,           0.0051768,             0.71352,             0.50643,             0.52591,             0.36128,            0.013535,           0.0049944,           0.0062604,           0.0024832,           0.0024832,           0.0024832
                 103,            0.014375,           0.0046686,           0.0051865,             0.67349,             0.52086,              0.5247,             0.35787,            0.013599,            0.004993,           0.0062636,           0.0024703,           0.0024703,           0.0024703
                 104,            0.014223,           0.0046456,           0.0051783,             0.69684,             0.51671,             0.52975,              0.3617,            0.013553,           0.0049601,           0.0061366,           0.0024574,           0.0024574,           0.0024574
                 105,            0.014241,           0.0045669,           0.0052058,             0.71302,             0.50434,             0.53132,              0.3639,             0.01353,           0.0049514,           0.0061855,           0.0024443,           0.0024443,           0.0024443
                 106,            0.013955,           0.0045436,           0.0047561,             0.69412,             0.51864,             0.53307,             0.36856,            0.013525,           0.0049332,           0.0062428,           0.0024312,           0.0024312,           0.0024312
                 107,            0.014155,           0.0046578,           0.0050749,             0.69772,             0.51313,             0.53618,             0.36863,            0.013517,           0.0049208,           0.0063469,            0.002418,            0.002418,            0.002418
                 108,            0.014142,           0.0046288,           0.0049412,             0.71092,             0.50301,             0.53375,              0.3688,            0.013442,           0.0049081,            0.006413,           0.0024048,           0.0024048,           0.0024048
                 109,            0.014109,           0.0045752,           0.0049704,             0.69246,             0.51322,             0.53432,             0.36782,            0.013438,           0.0049119,             0.00642,           0.0023915,           0.0023915,           0.0023915
                 110,            0.014103,           0.0046373,           0.0048032,             0.68578,             0.52002,             0.53555,             0.37047,            0.013406,           0.0049021,           0.0063781,           0.0023781,           0.0023781,           0.0023781
                 111,            0.014178,           0.0045655,           0.0047882,             0.68323,             0.52487,             0.53902,             0.37507,             0.01341,           0.0049043,           0.0063508,           0.0023647,           0.0023647,           0.0023647
                 112,            0.013986,           0.0045992,           0.0047859,             0.73247,             0.49708,             0.54036,             0.37414,            0.013444,           0.0049003,           0.0063051,           0.0023512,           0.0023512,           0.0023512
                 113,            0.014015,           0.0046122,           0.0049301,             0.69173,             0.52766,              0.5445,             0.37668,            0.013448,           0.0048723,           0.0061708,           0.0023376,           0.0023376,           0.0023376
                 114,             0.01397,           0.0045175,           0.0046381,             0.71858,             0.51089,             0.54693,             0.37988,            0.013445,           0.0048566,           0.0061081,            0.002324,            0.002324,            0.002324
                 115,            0.013863,           0.0045223,           0.0045619,             0.71347,             0.52167,             0.54991,             0.38273,            0.013433,           0.0048602,           0.0060656,           0.0023103,           0.0023103,           0.0023103
                 116,            0.013956,           0.0045655,           0.0045583,             0.73558,             0.51215,             0.55183,             0.38042,            0.013394,           0.0048635,            0.006029,           0.0022966,           0.0022966,           0.0022966
                 117,            0.013892,           0.0044672,           0.0045199,              0.7343,             0.51645,              0.5532,             0.38158,            0.013389,           0.0048774,           0.0060933,           0.0022828,           0.0022828,           0.0022828
                 118,            0.013864,           0.0045511,             0.00458,             0.68451,             0.52357,             0.55459,             0.38052,            0.013368,           0.0048643,           0.0060988,           0.0022689,           0.0022689,           0.0022689
